"","x"
"1",0
"2",0.00823077613923462
"3",0.0154627046341695
"4",0.0218737850731672
"5",0.0275999338277082
"6",0.0327636534645768
"7",0.0373457209347932
"8",0.0415834748755646
"9",0.0457175179321703
"10",0.0497084711876572
"11",0.0536181141511856
"12",0.0574107093017961
"13",0.0610713549774038
"14",0.0646509129355386
"15",0.0683590096076001
"16",0.072040334768471
"17",0.0758945585131152
"18",0.0800376854514699
"19",0.0843446250126909
"20",0.0888720165417765
"21",0.0937443110585383
"22",0.0990760648469184
"23",0.104752090412682
"24",0.110728834184301
"25",0.116962334503936
"26",0.123301672483189
"27",0.129529126615813
"28",0.135893103770818
"29",0.142475936527115
"30",0.149318437512113
"31",0.156175623406389
"32",0.162878916945923
"33",0.169519228172986
"34",0.176114707651793
"35",0.182571225746986
"36",0.189074009193975
"37",0.195380981690825
"38",0.20138058284225
"39",0.206855594416426
"40",0.211853525093522
"41",0.21651683731359
"42",0.220773599981212
"43",0.22448748422888
"44",0.227612419357337
"45",0.230503526258354
"46",0.233346576434746
"47",0.23617140217118
"48",0.238995399506469
"49",0.242209464047138
"50",0.245856714427577
"51",0.250317992615108
"52",0.252145775116523
"53",0.254065269753308
"54",0.256062678773417
"55",0.258130592559883
"56",0.260282649022066
"57",0.262524537231386
"58",0.264863243943416
"59",0.267314903953578
"60",0.269848403989405
"61",0.272432504818802
"62",0.27506840977895
"63",0.277756742060147
"64",0.280487458672025
"65",0.283248439004361
"66",0.286031004087105
"67",0.288834567883851
"68",0.291653182092637
"69",0.294488452174678
"70",0.297344991584082
"71",0.300228886492324
"72",0.303145236973553
"73",0.306104570731611
"74",0.309101751675921
"75",0.312138764357559
"76",0.315221808951822
"77",0.318343310627143
"78",0.321501450116517
"79",0.324683381001961
"80",0.327883013746162
"81",0.331101979219794
"82",0.334336529910396
"83",0.337580379169724
"84",0.340831949352185
"85",0.344085036231441
"86",0.347342240257111
"87",0.350603898024741
"88",0.353868029477404
"89",0.3571324985744
"90",0.360404430342144
"91",0.363683586106699
"92",0.36697567077149
"93",0.370279456695583
"94",0.373589366486383
"95",0.376908067527659
"96",0.380221201083592
"97",0.383523679982344
"98",0.386813931568845
"99",0.390088201243211
"100",0.393344893033871
"101",0.39658846738648
"102",0.399817985689744
"103",0.403034448929588
"104",0.406239230292198
"105",0.409432895480994
"106",0.412611047406556
"107",0.415780319713098
"108",0.418937547739779
"109",0.422083763845215
"110",0.425219702879576
"111",0.428345630126543
"112",0.431460153791531
"113",0.434570988064823
"114",0.437673889063812
"115",0.440767364894087
"116",0.443852390464925
"117",0.44692761018158
"118",0.449997448937506
"119",0.453056234336077
"120",0.45610300331439
"121",0.459135870286882
"122",0.462155474332593
"123",0.465157085695006
"124",0.468152115877277
"125",0.471135467626704
"126",0.474106042912912
"127",0.477065134156258
"128",0.48001354511938
"129",0.482949464578599
"130",0.485877422741332
"131",0.488792670524858
"132",0.491696013124917
"133",0.494589116224225
"134",0.497470554474149
"135",0.500334376839032
"136",0.503189669471214
"137",0.506030298956373
"138",0.508859301608379
"139",0.511675022856439
"140",0.514478973910441
"141",0.517275442068097
"142",0.520061039653573
"143",0.522833986040057
"144",0.525595122361657
"145",0.528344657759532
"146",0.531080064543235
"147",0.533806085549622
"148",0.536522678370862
"149",0.539229381168755
"150",0.541924451739177
"151",0.544607838073018
"152",0.547278509129484
"153",0.549940868945048
"154",0.552593430039086
"155",0.555236677787146
"156",0.557872353525026
"157",0.56049972996729
"158",0.563115962403494
"159",0.565726089508178
"160",0.568326498782729
"161",0.570916979432182
"162",0.573496064925906
"163",0.576062018723975
"164",0.578617987702324
