"x","y","m","ub","lb","ubb","lbb"
-3,-1.26274769370531,-1.2613564992913,-1.25567932686627,-1.26685378757024,-1.25457301396442,-1.26903015699492
-2.96778429670202,-1.19079808295134,-1.19184434259106,-1.18772873915985,-1.19573184940497,-1.18635928542008,-1.19680974082764
-2.9359165640364,-1.11939020506253,-1.12024618293594,-1.11622636068967,-1.12407487118127,-1.11475067784707,-1.1253904746282
-2.90378541465359,-1.04759955931863,-1.04762704307254,-1.04365078881525,-1.05125600897696,-1.04240818239373,-1.05254301546903
-2.87192398733128,-0.976251719108576,-0.976031272533296,-0.972191047939892,-0.979755129137813,-0.971313551361507,-0.980874210521336
-2.83983170704149,-0.904606444910373,-0.904442126049564,-0.90087328538754,-0.907957577303819,-0.899934680783667,-0.90914436212544
-2.80771138743188,-0.833011995112568,-0.832801145128132,-0.829504110547607,-0.836246650393221,-0.828519597640687,-0.837411744725155
-2.77572598570574,-0.761745607594939,-0.76168681135761,-0.758542920469738,-0.765082888000042,-0.757462878417568,-0.765901716419946
-2.74376346679408,-0.690681291504897,-0.69084657796291,-0.687500730421411,-0.694203876636145,-0.686288602860312,-0.695531319807134
-2.71152719940022,-0.619430156644061,-0.619526872905301,-0.61612943574648,-0.623020377124441,-0.614882858846214,-0.624011868930491
-2.67964596718233,-0.548994836371877,-0.549086418338322,-0.54582718555945,-0.552400186480179,-0.544399082811929,-0.553599448279323
-2.64762450499948,-0.478683114522699,-0.478769221758801,-0.475363744367025,-0.481768297165157,-0.474216573030411,-0.482678217067427
-2.61546738450575,-0.40857431557942,-0.40867870409734,-0.405374920891154,-0.411454557414639,-0.403886990339157,-0.412753413195443
-2.58352592089978,-0.339262212040047,-0.339374237687984,-0.336061188482449,-0.342570095844796,-0.335187340097472,-0.34332158970174
-2.55144826079842,-0.270285680604471,-0.270350876954948,-0.266983195289413,-0.273587818395864,-0.265691952706147,-0.274573433272913
-2.51941821317083,-0.201991098144207,-0.20192118492843,-0.198569808535052,-0.205231617029038,-0.197571956708734,-0.205978231816349
-2.48731560378284,-0.134269295381487,-0.134054833116132,-0.130729528938661,-0.137188203002014,-0.129552522056587,-0.138064440985537
-2.45531197769732,-0.0674468951960066,-0.0672979166848178,-0.0637711650326851,-0.0706240130092648,-0.0630247223680513,-0.0716076289559662
-2.423313194799,-0.00146040035403971,-0.00152421109395973,0.00170070850850057,-0.00476580125973114,0.00285840780405056,-0.00615392190255926
-2.39126008093121,0.0637172856259534,0.0636041565285093,0.0669232965592883,0.0602432569476936,0.0681288818152028,0.0595892659006021
-2.35922052265514,0.127911388003929,0.127775412418713,0.131042760137382,0.124549603249436,0.13228566776832,0.123481299469626
-2.3271635458286,0.191097904681207,0.190929566577427,0.193934395830109,0.187878013792018,0.194839387659393,0.186609806012118
-2.2950777087766,0.253219851414894,0.253010211752559,0.256248867386609,0.249820613187204,0.257229371243812,0.248954206117998
-2.26304604621685,0.314078533126126,0.313982192752734,0.317157359348437,0.310862923481627,0.318246133880224,0.309569395082779
