"","x"
"1",1.95470385632141e-05
"2",3.33720678643169e-05
"3",2.51930033468864e-05
"4",3.76896292353453e-05
"5",4.13146219333139e-05
"6",2.84609119452681e-05
"7",4.52960492739866e-05
"8",3.19925281026191e-05
"9",2.35035233667091e-05
"10",3.2610547566348e-05
"11",3.01002542520828e-05
"12",3.76173437507712e-05
"13",5.02042844212827e-05
"14",1.59834023902185e-05
"15",1.84719729745833e-05
"16",2.21574812898407e-05
"17",2.58073369182546e-05
"18",2.73917237587351e-05
"19",2.96787930138839e-05
"20",2.35030725795526e-05
"21",4.62837563690641e-05
"22",2.9477158215503e-05
"23",1.87966454652799e-05
"24",3.32476016263253e-05
"25",3.95125957158653e-05
"26",3.79416835089666e-05
"27",2.79842769698915e-05
"28",4.57053603586176e-05
"29",2.4578872032671e-05
"30",3.9795444177333e-05
"31",3.0308438212099e-05
"32",2.4726509431761e-05
"33",1.97402976963364e-05
"34",4.59352973783617e-05
"35",1.92383629704889e-05
"36",3.25894937792212e-05
"37",3.13727768419009e-05
"38",4.25356494215655e-05
"39",1.96609105800874e-05
"40",2.46450000620268e-05
"41",2.2510532553403e-05
"42",4.39065859461378e-05
"43",2.60595314937329e-05
"44",3.31341587439269e-05
"45",3.89697247231821e-05
"46",3.83208910784273e-05
"47",4.24131499682117e-05
"48",1.11308599783135e-05
"49",3.49717486301688e-05
"50",3.82148531482365e-05
