"","x"
"1",0.000106335134497183
"2",7.81494248310849e-05
"3",3.81777244146466e-05
"4",4.0674187421312e-05
"5",0.000124156313766306
"6",4.07682139990968e-05
"7",5.35173842132771e-05
"8",7.31960572977899e-05
"9",5.18296872438089e-05
"10",6.98964964731911e-05
"11",3.0448405584134e-05
"12",0.000119672071351336
"13",9.59207218551677e-05
"14",6.10618333329946e-05
"15",3.88327477021781e-05
"16",4.44996133392578e-05
"17",4.64940585363671e-05
"18",9.89945883195914e-05
"19",6.37106469713213e-05
"20",2.46079765038926e-05
"21",6.99415949518619e-05
"22",7.14767597773987e-05
"23",3.09214051006e-05
"24",9.09534816996515e-05
"25",3.58211020543423e-05
"26",8.7961559253636e-05
"27",6.41039651985886e-05
"28",3.92617841418927e-05
"29",7.95869223563086e-05
"30",0.000115997916519093
"31",7.59944650723771e-05
"32",4.01008198785368e-05
"33",5.66324793898479e-05
"34",0.000100870107660534
"35",5.54766987489934e-05
"36",4.49505197400849e-05
"37",4.51100668978135e-05
"38",5.94007934687433e-05
"39",9.43802215424308e-05
"40",6.3903093002405e-05
"41",3.82533152464856e-05
"42",4.19204608269196e-05
"43",5.80743648514608e-05
"44",6.56455829894925e-05
"45",0.000121060409900336
"46",4.9317570967856e-05
"47",6.98103266677983e-05
"48",5.51761946519939e-05
"49",6.64530263869706e-05
"50",4.26751033811338e-05
