"","x"
"1",5.49607024431129e-05
"2",8.32813790188261e-05
"3",6.43167575893046e-05
"4",4.58543602863605e-05
"5",2.88873094342373e-05
"6",0.000126767907995054
"7",7.76088251805348e-05
"8",7.49444199240141e-05
"9",0.000121027632591413
"10",7.56561770803317e-05
"11",8.18192732958599e-05
"12",9.47197774512769e-05
"13",0.000107767566538049
"14",0.000109245581463849
"15",5.06111327535957e-05
"16",0.000110124384500466
"17",8.42350187647289e-05
"18",2.99387008101087e-05
"19",5.48154341163758e-05
"20",7.64323420199576e-05
"21",5.29822100629936e-05
"22",3.54459169526328e-05
"23",9.75195738598481e-05
"24",9.55906957807985e-05
"25",3.2537346878229e-05
"26",0.000130500542881517
"27",4.4828316829687e-05
"28",9.78958805010159e-05
"29",3.93619764646892e-05
"30",4.17100011032675e-05
"31",1.72936430805615e-05
"32",7.41188862485082e-05
"33",0.000116001661729149
"34",3.05056093348323e-05
"35",0.000123468233121615
"36",6.89398706339946e-05
"37",9.52890668654752e-05
"38",7.88476653265725e-05
"39",8.37967206462136e-05
"40",6.4374555390282e-05
"41",5.85479073979253e-05
"42",7.11330193192674e-05
"43",5.25661550730649e-05
"44",7.69873364532287e-05
"45",6.65018600068689e-05
"46",7.79078604223346e-05
"47",0.000204492763555653
"48",7.61429453212707e-05
"49",9.07919462315239e-05
"50",0.000102069158578064
