"","x"
"1",6.11145191258637e-06
"2",9.14617676984747e-06
"3",1.18860938463733e-05
"4",1.63444465013345e-05
"5",8.22798750119992e-06
"6",8.77086825628638e-06
"7",1.02607749844518e-05
"8",1.11107378583123e-05
"9",6.87076894529404e-06
"10",5.54411666580987e-06
"11",9.76640441575231e-06
"12",8.37061870973016e-06
"13",1.11198487578435e-05
"14",1.21651282504747e-05
"15",1.14082498424898e-05
"16",8.29260268006733e-06
"17",1.70929974076623e-05
"18",1.28387002870917e-05
"19",5.87700621268797e-06
"20",6.64221503118432e-06
"21",4.64357921609778e-06
"22",7.60513397754595e-06
"23",1.09724802982833e-05
"24",1.19173281360705e-05
"25",6.07210998694727e-06
"26",7.86172677909471e-06
"27",6.40553228191064e-06
"28",1.1002975358666e-05
"29",6.6749935784502e-06
"30",8.09529697935229e-06
"31",1.16487534303701e-05
"32",8.54165628684884e-06
"33",5.95135679040328e-06
"34",1.10549220486724e-05
"35",2.60438372023128e-06
"36",1.21308063710028e-05
"37",1.32040635586543e-05
"38",1.29589183161952e-05
"39",7.89565632452886e-06
"40",8.12372627892849e-06
"41",1.65185356696566e-05
"42",8.15046513546515e-06
"43",9.27533233926496e-06
"44",4.91524931258066e-06
"45",5.42314624900302e-06
"46",1.24454980072284e-05
"47",1.22682655104762e-05
"48",1.0017488798397e-05
"49",1.1274019708192e-05
"50",1.13988041784074e-05
