"x","y","m","ub","lb","ubb","lbb"
-3,-1.37262186577681,-1.37065670689142,-1.35475396645925,-1.38409695165628,-1.35144253053133,-1.38937682119448
-2.96778429670202,-1.30071957445709,-1.30479295461205,-1.29451229031431,-1.31516931075578,-1.29188683833039,-1.31689694020858
-2.9359165640364,-1.22953450238356,-1.23192942374994,-1.22291218652601,-1.24096124261314,-1.22133129545727,-1.24250640746596
-2.90378541465359,-1.15815958890127,-1.15727676585927,-1.14981256051319,-1.16505879553914,-1.14770889528211,-1.16591229875666
-2.87192398733128,-1.08740271511357,-1.08546182451595,-1.0787180400026,-1.09291373658058,-1.07684992980415,-1.0935976062725
-2.83983170704149,-1.01653312854731,-1.01488882240302,-1.00778791844919,-1.02225186963862,-1.00616356922329,-1.02333248523661
-2.80771138743188,-0.945876840696662,-0.945847444231645,-0.936162806346165,-0.954010203474533,-0.933600054922322,-0.954455984333522
-2.77572598570574,-0.875704746259027,-0.876753433306906,-0.867363276936716,-0.883881817148747,-0.865798286334673,-0.885183080912612
-2.74376346679408,-0.805872176849518,-0.806001926473573,-0.797642799596253,-0.814295129758345,-0.796627486695717,-0.815073970818957
-2.71152719940022,-0.735970656779133,-0.73550843052546,-0.726966766521964,-0.743678939287054,-0.726004720522197,-0.74534951055044
-2.67964596718233,-0.66698041118017,-0.665854686086289,-0.656376020999639,-0.674675684628948,-0.654083867267717,-0.676181602650424
-2.64762450499948,-0.598191340647489,-0.596512685327943,-0.588963925797618,-0.605239857817303,-0.584604696315821,-0.607140984224648
-2.61546738450575,-0.5296514259337,-0.527528145853666,-0.519068655911999,-0.535827011001322,-0.518484842081856,-0.537687673586063
-2.58352592089978,-0.461932809335549,-0.460473934364964,-0.4525210589126,-0.468371776787652,-0.451424874099207,-0.469155303810862
-2.55144826079842,-0.394540157588488,-0.394297592181952,-0.386205466337316,-0.402189425476577,-0.385128976907696,-0.404981481442631
-2.51941821317083,-0.327796706284928,-0.329034679050727,-0.321165556411185,-0.337114516068473,-0.320684052287052,-0.339445623208305
-2.48731560378284,-0.261570180896264,-0.263351946026486,-0.255562596593877,-0.270299903807754,-0.251301175395385,-0.271349007547272
-2.45531197769732,-0.19615333816229,-0.197265814608129,-0.187610814013605,-0.203894193866208,-0.184204780798799,-0.205608337575627
-2.423313194799,-0.131461908954402,-0.131566777535833,-0.122811518909379,-0.139284938621014,-0.121564052986155,-0.14019256077984
-2.39126008093121,-0.0674414611628511,-0.0666950667728987,-0.0570970083760396,-0.0740238909286197,-0.0563229958483777,-0.0755316020879957
-2.35922052265514,-0.00425130909727334,-0.00364920867158891,0.00384612027347075,-0.00994861494040333,0.00560062678263162,-0.0101841820822326
-2.3271635458286,0.0580988862859684,0.0589453675323466,0.0672142462888747,0.0501700025059164,0.06899112675847,0.0473336200487664
-2.2950777087766,0.119578446172871,0.120044653928895,0.128619512644386,0.107688051553741,0.131535709973831,0.106261749389002
-2.26304604621685,0.179995206130234,0.180461765684441,0.189298924428725,0.170970016997978,0.193172372114182,0.169080264278328
-2.23099212905623,0.239393495100573,0.239985675368854,0.249327471510479,0.231619728365711,0.252341157102717,0.230869071371685
-2.19893947015214,0.297656123595661,0.297269374447647,0.306614777790977,0.288204970733945,0.309033972526523,0.285649064182909
-2.16691666582166,0.354643911914346,0.353250422742738,0.362705264654387,0.344788090690429,0.364342796782397,0.34188263519245
-2.13489602535887,0.410294665208684,0.409213997615623,0.418408951103124,0.40025679287156,0.42187414825986,0.397404833742784
-2.10286795661791,0.464503353105046,0.465253927320112,0.474240374755079,0.457459715095171,0.475787594843928,0.453283484756259
-2.07078549626261,0.517212871893953,0.519201804201443,0.526866627289055,0.511191228198255,0.52827387034142,0.508584370841487
-2.03876880295534,0.568109455245284,0.569137659435562,0.577967263207759,0.561527722975761,0.578329413284367,0.55802277313644
-2.00674016856326,0.617178318873586,0.616607609187922,0.624369609427658,0.607852836241662,0.625699900947574,0.605258844072299
-1.97469413473523,0.664267686486623,0.66337998017496,0.671144674206622,0.6548186749048,0.671627359707267,0.651461267245194
-1.94263823701496,0.709407038505058,0.708531644495438,0.71662965417256,0.699404974635032,0.718767111401831,0.696602278820458
-1.91058948901646,0.752107417396583,0.751378000232836,0.75924507542778,0.743710450159343,0.759989712317343,0.741956694625019
-1.87857148163204,0.792110765946463,0.792424272596742,0.799691870123753,0.785270204202009,0.800627452506907,0.781829160817906
-1.84652050997808,0.82941202559482,0.830247594821144,0.837891355521379,0.821323019324585,0.838486845234382,0.817236958999525
-1.81448617578146,0.863236722048619,0.864553422144546,0.872387847794574,0.855622871125261,0.872854481303214,0.853165758206219
-1.78243710033057,0.894411200994633,0.89485039780357,0.904201849526743,0.88601262702673,0.905916546142423,0.884277383552635
-1.75038589765542,0.922296479578351,0.921839054516527,0.931098929168312,0.913516500851151,0.932448142322697,0.910641615852815
-1.71835314213249,0.947331552895625,0.946930306467964,0.953544536240828,0.939049799464855,0.955242819074988,0.936239390753516
-1.68630147043969,0.96891545668637,0.969340515582174,0.978107040908955,0.958055576868579,0.981024600565729,0.955315617579354
-1.65427348722582,0.987327184771922,0.987999192775232,0.997686175481424,0.977253568109458,1.00257439500006,0.975076266402191
-1.62222036371202,1.00352915536638,1.00380617383072,1.01455657925627,0.993895871094256,1.01678763943426,0.993085930336185
-1.59018518310702,1.01818284305779,1.0172684280125,1.02707410268607,1.0070359283889,1.03128806113857,1.00652855447026
-1.55814782422671,1.02807546854704,1.03024431515137,1.04002193411096,1.01912504642961,1.04232354346757,1.01887910238845
-1.52610447441903,1.04247927176525,1.04494675396901,1.05414050156404,1.03444109065984,1.06464038773233,1.03215394603404
-1.49406357543345,1.06334469024304,1.06225443979961,1.0758348202723,1.05194581278359,1.08154692209646,1.04781606531151
-1.46201728855498,1.08573012829145,1.08124187225388,1.09397942334586,1.06992522456831,1.09630913431042,1.06434842700683
-1.42998273435848,1.09762864888335,1.09982832900391,1.1125507309759,1.08795085078443,1.11622267980003,1.08115588164713
-1.39794000867204,1.11669950415575,1.11816404046204,1.1309800616261,1.10511784744144,1.13334735130434,1.10172290915399
-1.38643300122872,1.12442092931459,1.12547789349526,1.13777427183108,1.11257677731587,1.1395888258337,1.1098744947629
-1.37522302862101,1.13205848677378,1.13340921252224,1.14332256540072,1.12166744327334,1.1473813624076,1.11921642236172
-1.36430518910808,1.14020032970957,1.14165305518932,1.15175499524808,1.13077885602328,1.15521109951185,1.12828323047652
-1.35364529397924,1.14920379252894,1.14989291022181,1.16134288984279,1.13897124095999,1.1634525966715,1.13607650573379
-1.34324079312252,1.15807154325545,1.1576804276453,1.16862956173991,1.14630626915739,1.1705808184328,1.14293107152246
-1.33307973464051,1.16524072083609,1.16411967491598,1.1750378633719,1.15353625634675,1.17677037918507,1.15012654784637
-1.32315098647328,1.17001746088069,1.16874270674196,1.17762015110706,1.15907528256052,1.18228595689681,1.15472107186762
-1.31344416308943,1.17280307587774,1.17169218968341,1.18079869912464,1.15998241657555,1.18524658926507,1.15766480796115
-1.30395830475792,1.17417414375676,1.1735498330331,1.18212308939092,1.16196844987368,1.18558795428629,1.15943294738245
-1.29466665587824,1.17487737169271,1.17450411526716,1.18375626295385,1.1635984677315,1.18555292228203,1.15967786299179
-1.28556964314621,1.17559885073573,1.17508547259873,1.18339337601173,1.16413762481917,1.18612387093985,1.16067487951128
