"x","y","m","ub","lb","ubb","lbb"
-3,-1.44072327625449,-1.44071716379593,-1.44052855830179,-1.44091397377431,-1.44047596733346,-1.44097481454555
-2.96778429670202,-1.36557081579687,-1.36556359377907,-1.36538172700277,-1.36574984028995,-1.36532800630433,-1.36579489382422
-2.9359165640364,-1.29091809652109,-1.29095939543203,-1.29077210686767,-1.29113343822061,-1.29073384103337,-1.29119183542941
-2.90378541465359,-1.21586100844356,-1.21583145079847,-1.21566425407416,-1.21597773048026,-1.21560877087099,-1.21604490775399
-2.87192398733128,-1.141222914129,-1.14124858352274,-1.14106609353618,-1.14141338902044,-1.14102344896332,-1.14146750876891
-2.83983170704149,-1.06628146920349,-1.06624143229243,-1.06604747219757,-1.06641182662402,-1.06599537316697,-1.06645387393426
-2.80771138743188,-0.991388274628014,-0.991437156812084,-0.991255165134215,-0.9916169390646,-0.991197708094684,-0.991685853284983
-2.77572598570574,-0.916820168844686,-0.916779497711008,-0.916582207753371,-0.916978870728964,-0.916537280048279,-0.917015891818588
-2.74376346679408,-0.842467694973182,-0.842503128430452,-0.842333243978995,-0.842660859732318,-0.842281237803473,-0.842714458029801
-2.71152719940022,-0.767934887130211,-0.767927222754484,-0.767756512302997,-0.76807705980581,-0.767715451326482,-0.768105842594511
-2.67964596718233,-0.69422875905264,-0.694244333276808,-0.694077873206402,-0.694401114149567,-0.694029892305759,-0.69445557885178
-2.64762450499948,-0.620662747920614,-0.620640162283936,-0.62047145687337,-0.620823247511036,-0.620419271143882,-0.620867296657001
-2.61546738450575,-0.5473109537628,-0.547352807967473,-0.547195465908374,-0.547538796039132,-0.547160035136234,-0.547592922307406
-2.58352592089978,-0.474771733223238,-0.474755197309354,-0.474571834523328,-0.474931979849612,-0.474546772365553,-0.474986306626849
-2.55144826079842,-0.40257848471056,-0.402564549399093,-0.402376733129259,-0.402769847455785,-0.402326060570828,-0.402851517220648
-2.51941821317083,-0.331088767342967,-0.331109774969725,-0.330936691651492,-0.331274916220808,-0.330876933166425,-0.331335241021683
-2.48731560378284,-0.260182798392911,-0.260167065153077,-0.260001406500641,-0.260325797096051,-0.259951172366207,-0.260358619458931
-2.45531197769732,-0.190193771871846,-0.190188455509773,-0.19002760910548,-0.190351628415709,-0.18998444164138,-0.19038289129655
-2.423313194799,-0.121052592816181,-0.121061738915875,-0.120891694442839,-0.12123498881132,-0.120819292039738,-0.121298173003157
-2.39126008093121,-0.0527359261614568,-0.0527569520576372,-0.0525725121087499,-0.0529470734368069,-0.0525295228678972,-0.0529946684697022
-2.35922052265514,0.0145777218286349,0.0145786489276307,0.0147511130793465,0.0143886244948896,0.0148100846755621,0.0143370277581034
-2.3271635458286,0.0808676730979658,0.0808697220893857,0.0810625229322561,0.0806969195801854,0.08108440716284,0.0806586097428237
-2.2950777087766,0.14608362825605,0.14608829585579,0.146260272445805,0.145926064749619,0.146301124363935,0.145871344774282
-2.26304604621685,0.210025514236737,0.210017752665053,0.21017355715904,0.209857669851734,0.210227496992554,0.209803349851479
-2.23099212905623,0.272732994216076,0.272730230413667,0.272906656383905,0.272566341613342,0.27296268577849,0.272524032402172
-2.19893947015214,0.33408590396709,0.334095805969237,0.334274143577633,0.333928532592534,0.334323746845128,0.333885038192788
-2.16691666582166,0.393965819340942,0.393953376691243,0.394138667110441,0.393782432356389,0.394175783092575,0.393746660468966
-2.13489602535887,0.452308719429189,0.45233411566031,0.452511634218732,0.452156266458657,0.452564035499368,0.452113068951419
-2.10286795661791,0.509033251761692,0.509004787753223,0.509164096810038,0.508834972506715,0.509225362736612,0.508778925964437
-2.07078549626261,0.564068160421163,0.564082338841336,0.564261579517483,0.563917346503527,0.564305623248017,0.563903135842839
-2.03876880295534,0.61708970118703,0.617095082377473,0.61725193020015,0.616924526194638,0.617287123596851,0.616888666799829
-2.00674016856326,0.668027283154855,0.668017321259934,0.668180641089755,0.667859287589301,0.668248258105652,0.667821792043724
-1.97469413473523,0.716695676018892,0.716716460789826,0.716911589577548,0.716535856480989,0.71694391611801,0.716487573935589
-1.94263823701496,0.762882438701629,0.762843812536732,0.763030865857055,0.762679144255699,0.763071658602603,0.762622864565951
-1.91058948901646,0.806366147921863,0.806410352071957,0.806590712739158,0.806238345864526,0.806629386119142,0.806181748466586
-1.87857148163204,0.846911147319211,0.846858369665683,0.847046625490975,0.846683244988848,0.847079277037339,0.846641027680568
-1.84652050997808,0.884417839400548,0.88446577320535,0.884634145010593,0.884303066089761,0.884673355367982,0.884254664675244
-1.81448617578146,0.918614335228029,0.91854856499803,0.918724179327415,0.91838590595824,0.918779283253895,0.918309178715972
-1.78243710033057,0.949310139231517,0.949382454650965,0.949565136897689,0.949191465599674,0.949597625697697,0.94912527658323
-1.75038589765542,0.977996632112732,0.977991718302285,0.978160080002143,0.977815882450784,0.978239169976721,0.977770422540532
-1.71835314213249,1.00189792612392,1.00185091282717,1.00202810432054,1.00167920176955,1.0020906504068,1.00158609016661
-1.68630147043969,1.02258001193994,1.02258661927906,1.0227694294445,1.02240739787213,1.02280199314084,1.02235744661363
-1.65427348722582,1.03902673418285,1.03908388269058,1.03927096379588,1.03888455410098,1.03932000225123,1.03883560623454
-1.62222036371202,1.05422877294194,1.05413524208072,1.05432067619151,1.05393925602138,1.05436792225482,1.05388739751321
