"x","y","m","ub","lb","ubb","lbb"
-3,-1.35136139920565,-1.35021240750374,-1.34442873060744,-1.35562965365972,-1.34263411063563,-1.35758403276036
-2.96778429670202,-1.28263830942202,-1.28325192440252,-1.27934006110711,-1.28723916842224,-1.27832304026672,-1.28885406896717
-2.9359165640364,-1.21449988961432,-1.21516637808941,-1.21162747374297,-1.21867818059117,-1.2104530422844,-1.21969385948079
-2.90378541465359,-1.14603080272704,-1.14617168327341,-1.14280783801832,-1.14963555742625,-1.1420955268005,-1.15063534176945
-2.87192398733128,-1.07802636902227,-1.07806173402965,-1.07470993189695,-1.08145227602551,-1.07358031171393,-1.08238394880277
-2.83983170704149,-1.00974557221254,-1.00968128288662,-1.00620672248784,-1.0131281945863,-1.00547009149924,-1.01440360109271
-2.80771138743188,-0.941510530024925,-0.941357773734485,-0.937982477524428,-0.944839193564868,-0.93690667203591,-0.946109325802435
-2.77572598570574,-0.873591524157549,-0.873557653537933,-0.870311620926597,-0.876992018391894,-0.869269754415142,-0.877737036768751
-2.74376346679408,-0.805850392944084,-0.805885285153791,-0.802547009600332,-0.809150411766389,-0.801273050039752,-0.810566798133942
-2.71152719940022,-0.737861967863367,-0.737760482978662,-0.734590480382113,-0.740984581495749,-0.733047702327711,-0.742558071315073
-2.67964596718233,-0.670619517125148,-0.670517804219047,-0.667493056725406,-0.673738284137582,-0.665968630809102,-0.674980923810982
-2.64762450499948,-0.603405923819684,-0.603190176518522,-0.600190523061848,-0.606389008536553,-0.599433005559615,-0.607394443585599
-2.61546738450575,-0.536268876553625,-0.53596250192242,-0.532946266552456,-0.539022702969195,-0.532368221300503,-0.540174370656125
-2.58352592089978,-0.469782868680353,-0.46966346157112,-0.466459608951613,-0.472921589368771,-0.46547757303445,-0.474227700599372
-2.55144826079842,-0.403451867203454,-0.403561114734385,-0.400224844674393,-0.406803296330664,-0.399194112179508,-0.407283025035488
-2.51941821317083,-0.337603478403422,-0.337757220391521,-0.334645622407274,-0.340848865776284,-0.333769112743586,-0.341798268956005
-2.48731560378284,-0.272095900294614,-0.272152173297107,-0.269054485549417,-0.275170880112007,-0.267887044336527,-0.276128081047785
-2.45531197769732,-0.207234323794376,-0.207204522118576,-0.203856216768376,-0.210306539567517,-0.20275191496949,-0.211059523795207
-2.423313194799,-0.142928453040823,-0.142841939676398,-0.139446729043201,-0.14600451843849,-0.138482425589156,-0.146696139339643
-2.39126008093121,-0.0791351148096791,-0.0789969696844433,-0.0755886147995219,-0.0821659312047918,-0.0748082621524016,-0.0830444688746628
-2.35922052265514,-0.0160157384460682,-0.015937025525451,-0.0127637388434207,-0.019292255708937,-0.0118039301839641,-0.0204419186769633
-2.3271635458286,0.0464175003877261,0.0464236937331801,0.049505563388875,0.043215695871091,0.0506366349109435,0.0423963894159429
-2.2950777087766,0.108116250762553,0.108091815622713,0.111207320273988,0.104970804492434,0.112378338090796,0.104128723808028
-2.26304604621685,0.168884715137826,0.16890692440136,0.171960521220071,0.165509812303947,0.172818485249699,0.164575694154126
-2.23099212905623,0.228741509580994,0.228818870378787,0.23192089248991,0.225336092081588,0.232861857722279,0.224307280539051
-2.19893947015214,0.287564378682223,0.287683655480771,0.290797975408716,0.284279907790986,0.292088022610296,0.282990328259164
