"","x"
"1",0.000674293443247345
"2",0.000804156037067062
"3",0.00132763230701721
"4",0.000527196916283662
"5",0.000624652339763139
"6",0.000780580130066895
"7",0.00061596732858324
"8",0.000985356088071758
"9",0.000934905269533539
"10",0.000446532435952132
"11",0.00126804446443428
"12",0.000624377292871125
"13",0.000433380358875746
"14",0.00125121535798805
"15",0.000793720876381516
"16",0.000953171841608443
"17",0.000803986166532477
"18",0.000982439591129029
"19",0.000750521339463817
"20",0.00090746266168437
"21",0.000990791842167147
"22",0.00121846133080707
"23",0.000555646949217186
"24",0.00145011065925401
"25",0.00155830295270118
"26",0.000760817045624436
"27",0.000808304729776681
"28",0.000957323113275488
"29",0.000417425245485245
"30",0.000954481129611575
"31",0.00117119874798827
"32",0.000732533766321972
"33",0.000869026524453905
"34",0.000578043870356309
"35",0.000531796961234362
"36",0.00085969967121453
"37",0.000830910185075368
"38",0.000955757450609236
"39",0.000527041032838074
"40",0.000601614173262105
"41",0.000509302536500533
"42",0.000829128733195936
"43",0.00106840180081548
"44",0.000474067758988001
"45",0.00113442135545881
"46",0.00109489068531779
"47",0.000697454668659409
"48",0.00139534899521633
"49",0.000884666836573269
"50",0.00081829797512401
