"","x"
"1",0.000161240179734964
"2",0.000410114227879856
"3",0.000122214916235788
"4",0.000244995804595118
"5",0.00014787400858684
"6",6.15845389132321e-05
"7",0.00016212385976879
"8",0.000122905984435783
"9",0.000125674785336827
"10",0.000271963825835701
"11",0.00015172921595146
"12",0.0001149004662911
"13",9.91433866250246e-05
"14",0.000127678823173583
"15",0.000143651864386275
"16",0.000103720385857642
"17",0.000148792847678413
"18",8.2445249670248e-05
"19",0.000124261216996765
"20",8.4874734876751e-05
"21",8.00099036033012e-05
"22",0.000172075767904619
"23",0.00035537147098111
"24",8.39242027753116e-05
"25",0.000273389837770854
"26",9.25196775482301e-05
"27",0.000100000534605342
"28",0.000145033644495823
"29",0.00012192329222188
"30",8.87611415319542e-05
"31",8.02121121932629e-05
"32",0.000127786690148693
"33",8.98957198930296e-05
"34",0.000140090327127474
"35",0.000490361132147387
"36",0.000146313045332021
"37",0.000165024740201236
"38",0.000237112499570212
"39",0.000158411122919126
"40",7.24656975438937e-05
"41",8.86781792274897e-05
"42",0.000149069955921707
"43",0.000167665209912264
"44",0.000174041655727354
"45",0.000147924921129786
"46",0.000190137350042399
"47",0.000217783732805519
"48",0.000106548412603227
"49",0.000100672559886212
"50",0.000123871459646435
