"seed","dgp","dgp_r","deepgp","hetgp","time1","time_r","time2","time3"
1,0.000456397921069523,0.000444614400521229,0.000683883577766629,0.000473873640460241,12.421,14.481,183.769,0.0519999999999925
2,0.000707814982045765,0.000691554725012321,0.00077295361408658,0.000891921963905929,12.856,13.044,173.383,0.106999999999999
3,0.000801409760057099,0.000786741969176324,0.00120685755129653,0.000880547031036008,13.842,14.077,183.977,0.120000000000005
4,0.000367992009274178,0.000378548219194502,0.000395078515352524,0.00039602496767761,14.537,14.272,199.407,0.0559999999999832
5,0.000632793827186122,0.000911911453579653,0.00104116951893622,0.00079147385863464,13.068,14.061,183.341,0.0919999999999845
6,0.000651737845300389,0.00220733042835155,0.000740575883727398,0.000662596941270066,14.598,14.877,190.651,0.265000000000015
7,0.00132179976020025,0.0011719247067539,0.00124599348679707,0.00127153971923047,15.159,15.461,218.271,0.0589999999999975
8,0.00074682478238614,0.00038921044023022,0.000518733185490566,0.000531743672746647,13.804,13.594,167.386,0.063999999999993
9,0.000427122214888238,0.000443116136012461,0.000438286072602263,0.000367192393407557,14.234,15.094,185.653,0.29000000000002
10,0.000758868993060065,0.000771814219340002,0.00118899867750925,0.000747438888572488,14.136,15.286,206.079,0.0570000000000164
11,0.000300265786351684,0.000392136994761053,0.000911569353768168,0.000214186439658239,17.859,15.122,201.124,0.0599999999999739
12,0.000522362913541197,0.000581601601862335,0.00075835525823879,0.000657713528091,13.563,13.913,187.068,0.0670000000000073
13,0.00106107920158207,0.00100346140212659,0.00261961307967383,0.00125230476978506,15.685,15.123,222.52,0.054000000000002
14,0.000237669214730127,0.000237166635706248,0.000314039105421675,0.000317805974237714,13.731,14.541,199.306,0.0550000000000068
15,0.000559720939611011,0.000538722201627677,0.000504621010877926,0.000528712983138873,13.832,15.273,179.414,0.046999999999997
16,0.000512960589570242,0.000408977213392994,0.00171502262142581,0.000536264449437199,14.491,15.027,182.487,0.109000000000009
17,0.000728305629424328,0.000713562683542481,0.000783236593646054,0.000751563760798078,14.049,14.202,180.374,0.0960000000000036
18,0.000733271185491406,0.000679886896165852,0.000774632715180192,0.000748585277583225,13.218,13.631,181.731,0.0800000000000125
19,0.000468878758863366,0.000446622363722372,0.000614333854922443,0.000433219078170949,12.171,13.511,193.737,0.103000000000009
20,0.00108226929625097,0.000957516694458381,0.0010196934445941,0.000999819105734223,14.576,14.633,194.647,0.0630000000000166
