"","x"
"1",0.0021842612470845
"2",0.000867267094711818
"3",0.00112482123485032
"4",0.00166398203031692
"5",0.0012203597565529
"6",0.00120968448092682
"7",0.000931963522724302
"8",0.00132915383760446
"9",0.00160180919338484
"10",0.00199912345854454
"11",0.0012535037035005
"12",0.00115523911002853
"13",0.00125494036114018
"14",0.00105863227256599
"15",0.00131407286668087
"16",0.00117436215726646
"17",0.00201574259989747
"18",0.00130173750209782
"19",0.00207866556240799
"20",0.00148820593487167
"21",0.0010467025677849
"22",0.000860969968041249
"23",0.00154505580936042
"24",0.00145816862494529
"25",0.00113612206614299
"26",0.00153383376613827
"27",0.0010875265145687
"28",0.0010618746520032
"29",0.00141791489001359
"30",0.00182375542586374
"31",0.00210005790229324
"32",0.00104506194273139
"33",0.000959440606986954
"34",0.000997774060458328
"35",0.00169530087357875
"36",0.00115949694032585
"37",0.00171920973150861
"38",0.00209435112439218
"39",0.00108194427878017
"40",0.00127467792593454
"41",0.00155451415722102
"42",0.00147217363618444
"43",0.00194539216889503
"44",0.00211995467948322
"45",0.00189901110735415
"46",0.00176250853437506
"47",0.00171671364255861
"48",0.00182526466817253
"49",0.00211069415824646
"50",0.00146628031479894
