"seed","dgp","deepgp","hetgp"
11,0.00111150978716628,0.00108019173399305,0.00121606354941882
9,0.00147703290215062,0.000915499523773836,0.000852761051633602
4,0.00136465582100785,0.000927254989137684,0.00129264976493449
19,0.00141022529379686,0.00168285594502768,0.00155877350617061
13,0.00213153716293985,0.00210781055353605,0.00213117116888283
16,0.0010862582367721,0.000784479624637357,0.00112870711445388
8,0.0010997317252795,0.00105797803173578,0.000897840640230092
15,0.00099389520710415,0.000921737046514058,0.00125802146516795
14,0.00104115276895507,0.000967985544014239,0.000850833783738585
2,0.00181548656573107,0.0016045348470727,0.00187669855765502
7,0.00182626580843896,0.00188509829887517,0.0023939053677492
3,0.0018560363817161,0.00131499826420143,0.00208024155527469
18,0.0015273187918583,0.00152949805222257,0.00130692408963501
10,0.00183119970034615,0.00169271311117991,0.00162194739380356
20,0.00223595958990085,0.00200915482794059,0.00218692006748056
17,0.00146207821229884,0.00150483682936566,0.00148179824407217
12,0.00131152123817953,0.00127640383159281,0.00159289205955666
1,0.00108355174508018,0.00117208364570254,0.000918188285171149
6,0.000889087413662487,0.000593335173682514,0.00102224338135305
5,0.001150173192829,0.00130856299830749,0.00141903962637063
