"seed","dgp","deepgp","hetgp"
11,0.000797279194895116,0.000965083008430589,0.000675710999787737
4,0.000956547930766361,0.000637659913494804,0.000491641120761031
13,0.00173657697715853,0.00168036555041411,0.00137892869742847
2,0.00106956859637082,0.00140615375186406,0.00123758699637992
19,0.000838915631895673,0.000665781665765412,0.000578042918407941
8,0.000814126954580836,0.000746429050297645,0.000517711519881751
15,0.000651107926992283,0.000670291353132719,0.00053497670301405
16,0.000543395232005901,0.000554301357362512,0.000435872043147741
18,0.000824777582284987,0.000675346871068057,0.000853491210290044
10,0.000983440745208716,0.000909957047082771,0.000743320049830916
3,0.000903451631502259,0.00105145990187333,0.00121665745280977
9,0.000599570793621429,0.000633352202879426,0.000412087017757261
5,0.000693246829041076,0.000740524539098787,0.000719213793517792
14,0.000455421741524503,0.00067654413925742,0.000458331256224648
6,0.000428443369408291,0.00042963586097224,0.000530645217370965
7,0.00116276906865051,0.00127773234039231,0.00139124794182742
20,0.00111959402315374,0.000994420175801067,0.000759063453873507
1,0.000725163410757157,0.000741808580338725,0.000623533890527216
12,0.000838051712493081,0.000539617554809056,0.000711766272986934
17,0.000793319671206319,0.000736190793439292,0.000836047797294163
