"seed","dgp","dgp_r","deepgp","hetgp","time1","time_r","time2","time3"
1,3.63558852539048e-05,3.31902803625763e-05,4.06163895878982e-05,2.78620474060241e-05,16.42,16.809,218.978,0.116000000000014
2,5.93509544786421e-05,5.86604948870923e-05,6.97767105840818e-05,4.85517796137979e-05,15.479,15.361,212.504,0.0309999999999775
3,7.33114558028663e-05,6.43442296325541e-05,6.93008660419581e-05,5.09014841913332e-05,15.176,15.228,203.804,0.0509999999999877
4,4.2461165804914e-05,4.64299135521162e-05,4.97712143365512e-05,4.02116437740624e-05,13.981,14.489,190.169,0.0790000000000077
5,6.20973218822563e-05,6.3403658079263e-05,6.79005598614558e-05,4.61722503256194e-05,14.782,15.376,191.664,0.0430000000000064
6,5.96728726585247e-05,6.30678404536737e-05,6.98672985795956e-05,4.12207850792405e-05,14.335,14.992,200.732,0.0420000000000016
7,0.000138652309510371,0.000139553605536729,0.000152098544310152,0.000136059002015814,15.252,15.138,231.6,0.05499999999995
8,4.42151461266664e-05,4.75947370961037e-05,5.55574364604386e-05,4.99990862720012e-05,15.703,13.673,194.314,0.0430000000000064
9,6.07713135891935e-05,6.20782457566646e-05,6.32175075913989e-05,3.84955847879005e-05,15.255,14.801,186.059,0.292000000000002
10,6.02763199571636e-05,5.49125284728959e-05,5.47275930716514e-05,4.02448941698408e-05,14.948,14.578,201.831,0.0339999999999918
11,2.19842255867062e-05,2.74590005669286e-05,3.06243139073435e-05,2.07135777894381e-05,13.303,13.846,184.162,0.0380000000000109
12,2.99619199038353e-05,3.25389078486978e-05,3.53542374105306e-05,2.46527845215807e-05,14.616,15.283,196.762,0.0409999999999968
13,9.47586106852782e-05,9.82645571381978e-05,9.52984809762459e-05,0.000100046703131485,13.921,14.5,195.892,0.0599999999999739
14,2.27073456653322e-05,1.95392977283842e-05,2.28582652129491e-05,2.08610198406742e-05,15.788,16.218,204.118,0.259999999999991
15,6.39573728238547e-05,6.35892657300143e-05,7.33669522130032e-05,5.62141616839493e-05,15.552,16.318,205.111,0.293999999999983
16,2.99793296698509e-05,3.1766385681126e-05,3.35856317546681e-05,3.83994302377143e-05,13.798,14.171,191.055,0.061000000000007
17,5.52816657242448e-05,6.26393967531352e-05,5.93775921843432e-05,5.04405355604075e-05,13.599,16.86,203.079,0.165999999999997
18,6.8694652466956e-05,6.81851262340065e-05,6.37711601654756e-05,5.4579372093397e-05,15.426,15.417,213.517,0.0670000000000073
19,3.8803960269561e-05,3.96374558819946e-05,3.32292130730107e-05,3.30036648810337e-05,15.664,15.124,209.34,0.0370000000000061
20,7.84715142144064e-05,7.25965035441698e-05,9.08652288387558e-05,5.97518248803959e-05,14.311,17.597,203.542,0.299000000000007
