"seed","dgp","dgp_r","deepgp","hetgp","time1","time_r","time2","time3"
1,0.000675542585451453,0.000707710655235642,0.0013852172398517,0.000902794631860352,14.289,14.065,202.742,0.119
2,0.0012340755105458,0.00125414495921921,0.000868168875821085,0.00142751369507538,12.541,15.06,181.528,0.0869999999999891
3,0.00172896081732063,0.00156596968693519,0.0024148320244114,0.00166953389529144,14.274,14.043,193.015,0.0390000000000157
4,0.000699318545235663,0.000665060355226083,0.00172395036074055,0.000703211353619135,14.341,14.233,191.928,0.0949999999999989
5,0.00174836713932902,0.00166829446617981,0.00256540472532443,0.00143867585218746,14.273,14.135,210.086,0.11699999999999
6,0.0011249402242404,0.00104553609854038,0.00151920413025755,0.00114491956296172,13.91,15.315,178.661,0.0889999999999986
7,0.00250887813273514,0.00231802643952828,0.0026567348715407,0.00265718645146878,14.498,14.341,203.45,0.0620000000000118
8,0.000766320617232252,0.000656641554310805,0.000649980282928611,0.00116379654735303,12.887,13.248,171.48,0.0749999999999886
9,0.000843473741438006,0.000831282794277074,0.00124080267612342,0.00075496172545062,14.52,14.576,178.835,0.304999999999978
10,0.00143090302616236,0.00181085160232476,0.00182605580609556,0.00145765116794118,13.381,14.996,193.847,0.0600000000000023
11,0.000290883124330639,0.000301381492973437,0.0150501086178513,0.000407794225603745,13.185,13.757,182.074,0.0619999999999834
12,0.00096850049390276,0.000921695138146974,0.00111906774922181,0.00121714889963637,12.694,13.091,188.338,0.0929999999999893
13,0.00169297942410108,0.00172126447876216,0.00450891677690549,0.00198799401247902,13.748,14.52,202.517,0.0580000000000211
14,0.000436825135528132,0.000388181932980256,0.000532988020341608,0.00067253729048587,13.409,13.718,187.465,0.0579999999999927
15,0.00111308390567296,0.00101559557113443,0.0017198437808228,0.00104798514904956,14.462,13.536,208.959,0.054000000000002
16,0.000849764868335623,0.000776198463386574,0.00127974231625389,0.000737351927171138,13.401,14.089,184.591,0.0819999999999936
17,0.00109535068217425,0.00140720203188125,0.00139103961880242,0.00170574388355604,14.354,13.573,176.48,0.257999999999981
18,0.00118349217544069,0.00115558863925062,0.00129115261970581,0.00132726984453414,13.37,13.789,187.626,0.169000000000011
19,0.0010003467283741,0.00110074327902291,0.000958844454154983,0.000900953157888695,13.335,14.287,183.846,0.0649999999999977
20,0.00213066646682461,0.00196300776428531,0.00175600270465331,0.00174883973919319,13.656,14.283,193.558,0.0829999999999984
