"","x"
"1",3.99877046802323e-05
"2",6.21358414054977e-05
"3",7.62443171772285e-05
"4",7.27880292918492e-05
"5",5.88573449967757e-05
"6",3.72134779887962e-05
"7",5.69367999840668e-05
"8",4.12179102363511e-05
"9",6.83241492954314e-05
"10",6.67621359678499e-05
"11",3.8338561953555e-05
"12",6.0293468788103e-05
"13",4.68793165071851e-05
"14",2.846936612372e-05
"15",5.5697684021547e-05
"16",2.04748492507099e-05
"17",7.18145733903083e-05
"18",4.69194889221469e-05
"19",2.49784458414649e-05
"20",3.89912774381483e-05
"21",1.25424284061696e-05
"22",6.18036352527827e-05
"23",2.6556571374467e-05
"24",6.55808907927609e-05
"25",2.01727411923559e-05
"26",5.46835679073735e-05
"27",7.96393257984482e-05
"28",3.27263870349038e-05
"29",0.000110268695876368
"30",3.97356855581027e-05
"31",0.000109753922713143
"32",1.85108159639381e-05
"33",7.47549849922951e-05
"34",6.05340928113024e-05
"35",3.93630691764188e-05
"36",5.43585136124353e-05
"37",4.06939514571572e-05
"38",2.86495644426072e-05
"39",6.03805709146759e-05
"40",3.22107197871037e-05
"41",3.61710283473277e-05
"42",2.97544204393268e-05
"43",5.65825365335255e-05
"44",3.31837379287044e-05
"45",5.30000552054568e-05
"46",5.63495392122786e-05
"47",6.62434827610926e-05
"48",6.1174834365353e-05
"49",2.20652042283321e-05
"50",5.69221612256632e-05
