"seed","dgp_mse","dgp_r_mse","deepgp_mse","hetgp_mse","dpc_mse","dgp_logs","dgp_r_logs","deepgp_logs","hetgp_logs","dpc_logs","dgp_time","dgp_r_time","deepgp_time","hetgp_time","dpc_time"
1,0.000529138309201277,0.000453754684905456,0.000657515754581534,0.000471247400231429,0.000401369732421372,-73.001891449528,-100.785929644513,-79.7709968950138,-93.4674994905789,-93.8233974318816,13.0249999999942,12.7900000000081,90.6820000000007,0.0529999999998836,155.5
2,0.000696451945928773,0.000588327965222246,0.000562898364738231,0.000596052395993555,0.000561440593728384,-69.5806595015804,-88.0904653258807,-89.3775138853143,-76.6071987326782,-71.106881740048,13.5880000000034,12.1409999999887,107.585000000006,0.0650000000023283,159.096000000005
3,0.000340594400651335,0.00029140028335366,0.000592714315834339,0.00029615558365729,0.000246136133098073,-71.2442590745695,-108.749371398516,-87.3849379383723,-107.26366141071,-111.665438474145,14.9489999999932,13.096000000005,103.277999999991,0.0559999999968568,160.424000000014
4,0.000222661180477561,0.000193908210742961,0.000273840990265603,0.00020139745306902,0.000164603252166198,-74.0255888499825,-111.397529616095,-109.930261231975,-116.073927424637,-117.53912655274,14.5690000000031,11.7379999999976,105.972999999998,0.176999999996042,156.447
5,0.000202041365939032,0.000218243440517843,0.000497565438988481,0.000265131725736791,0.000197706206031143,-72.9369617773979,-112.864324481479,-94.4763463523274,-110.288501010691,-113.469557045227,13.8570000000036,12.2909999999974,92.6070000000036,0.192999999999302,156.978000000003
6,0.00190060106376595,0.000251379936463299,0.000485715531063259,0.000346103411348893,0.000259455055210662,-63.9024399181571,-111.090424366772,-92.810364049495,-103.114099036731,-109.97119906424,15.3439999999973,12.3539999999921,98.8859999999986,0.0350000000034925,154.923999999999
7,0.000434328372828472,0.000426660773732346,0.000524769488288537,0.000477554510029077,0.000368733846375503,-70.0121988263658,-100.162697861015,-89.3512716283287,-97.0366293711462,-98.7468272539924,14.9829999999929,13.218000000008,104.671000000002,0.0399999999935972,154.945999999996
8,0.000466881044095794,0.000350602523382592,0.000739081752858814,0.000399806212804929,0.000279369667923389,-74.2428436382355,-106.700167144495,-73.8080749337055,-101.292662027848,-108.862216200682,13.8920000000071,12.7069999999949,102.978000000003,0.141999999992549,154.332999999999
9,0.00017417319599621,0.000207926445992488,0.000349104355964919,0.000238133897978919,0.000154061416501378,-76.3965048044577,-113.190288323438,-103.164997594029,-112.119699212844,-119.99861360179,14.7590000000055,13.6940000000031,105.398000000001,0.0400000000081491,166.184999999998
10,0.000407433554952392,0.000254259817190372,0.000675593742147372,0.000398443856034018,0.000300039751975073,-68.2896152519756,-110.479503128169,-82.0008824251949,-100.834970042382,-104.98043171952,14.1110000000044,13.718000000008,104.857999999993,0.0409999999974389,154.27900000001
11,0.000351728194200775,0.00036153152566762,0.000518148442011159,0.000420493650726849,0.000353476934161355,-71.3256956227861,-104.418852719545,-90.9206968065548,-98.7144662872977,-95.3923283845358,13.6860000000015,12.252999999997,99.8920000000071,0.210999999995693,154.763999999996
12,0.000321746214039181,0.000273683784141926,0.000408244787520315,0.000316171535556917,0.000247273213750734,-74.5738429538072,-107.870268045242,-98.428074502623,-103.281278522348,-105.59319013788,12.6049999999959,11.2330000000075,99.4479999999894,0.0400000000081491,157.025999999998
13,0.000434734252362737,0.000377438235143104,0.000441487203401854,0.000374974219234936,0.000306101976943978,-70.294108307146,-103.137868261662,-98.1681177843789,-102.103326399904,-102.844614927318,14.7459999999992,13.226999999999,113.460000000006,0.036999999996624,155.726999999999
14,0.000382289996352347,0.000297864387158864,0.000535555702431216,0.000355154522034236,0.000268717331470554,-79.6421651123081,-106.885886163204,-91.9143521416567,-100.864307072008,-103.194255820189,14.8270000000048,11.6659999999974,105.866999999998,0.036999999996624,154.971000000005
15,0.000441585303369524,0.000372352031234245,0.000599781162245043,0.000405293363291134,0.00034820492850364,-68.3481235274593,-104.280085040329,-88.9790760428738,-99.342975920565,-96.9442865692069,13.2580000000016,12.5069999999978,130.131000000008,0.158999999999651,155.144
16,0.000469384900714424,0.000365147333615649,0.000472175995203444,0.000390016761992755,0.000318807169532498,-70.2174528880747,-105.366220978806,-94.7509231625935,-101.880371350246,-105.376584830472,14.2290000000066,13.0010000000038,97.1330000000016,0.0399999999935972,155.453000000009
17,0.000233050461160561,0.000266590854898463,0.000305801539043267,0.000224114156390309,0.000203414079277176,-68.508143472089,-109.311223411734,-107.68971238525,-115.174486135272,-113.692830659386,13.804999999993,12.8930000000109,92.3799999999901,0.0250000000087311,158.080000000002
18,0.000266184739984654,0.000278970660398356,0.000436391705806392,0.000318214144173107,0.00025357947539135,-72.742054067639,-110.200880249373,-96.3394743137857,-106.779529660835,-109.135234172956,13.1300000000047,13.0130000000063,98.150999999998,0.186000000001513,157.971999999994
19,0.000344481163978214,0.000398650708780642,0.000389290585026431,0.000392374305756101,0.000309341629891777,-73.8009206522087,-100.777444199984,-100.342404534717,-98.2622538033671,-105.606800417213,13.4489999999932,14.0020000000077,106.934999999998,0.0529999999998836,157.792000000001
20,0.000396610412841198,0.000196284732420163,0.000281363569355074,0.000208830172444434,0.000151493335525844,-69.5352886956234,-118.749911183464,-109.380418845622,-114.134156829483,-124.111242510906,13.9060000000027,14.6089999999967,104.164000000004,0.0610000000015134,158.370999999999
