"seed","dgp_mse","dgp_r_mse","deepgp_mse","hetgp_mse","dgp_logs","dgp_r_logs","deepgp_logs","hetgp_logs","dgp_time","dgp_r_time","deepgp_time","hetgp_time"
1,0.000889982762613655,0.000698314003588691,0.00105140351170789,0.000902794631875886,-76.4532039072103,-83.0281972759909,-46.2175717422018,-81.8039652404233,25.5149999999994,24.7020000000011,174.827999999998,0.348000000001775
2,0.00139073063603608,0.00137177601092111,0.00154889265056584,0.0014275218070983,-71.2784440648449,-76.4232669115238,-26.085964887066,-73.0509617152412,25.2880000000005,25.3070000000007,170.766,0.126000000000204
3,0.00158829764157302,0.00159369699673926,0.00199846625668665,0.00166953389871177,-73.9109462900896,-74.2797552663168,29.7740367462458,-59.9970702700192,29.1510000000017,26.1479999999974,161.141,0.066000000002532
4,0.000709310102254815,0.000680241705581731,0.00223728790688895,0.000705667815675793,-72.6521736317807,-83.484372024814,29.6576267709817,-93.5733234385351,23.400999999998,24.4760000000024,168.425999999999,0.11200000000099
5,0.00110313410093636,0.00140391369062096,0.00180744164541941,0.00143877766889099,-76.2614658392249,-78.0623902084834,18.8110755955737,-66.4234569420778,25.7109999999993,22.5250000000015,158.464,0.173999999999069
6,0.00114423518663465,0.00116455734224265,0.00134747143163626,0.00114489495475657,-70.1846912191328,-76.6127730797606,-21.80178174295,-74.9739291363982,24.3970000000008,22.2949999999983,164.524000000001,0.367999999998574
7,0.00245034347947992,0.00241664650620417,0.00272089455351564,0.00265718652632004,-63.2161866963887,-67.7316799966343,93.3756624339519,-44.4354966717207,24.5280000000021,25.4039999999986,181.032999999999,0.224000000001979
8,0.00132514875202075,0.000710212514560414,0.000919220261100907,0.00116380200512716,-70.3791362260494,-83.2078827416413,-71.744235270522,-79.9320110583335,24.4639999999999,21.6169999999984,147.958000000002,0.0859999999993306
9,0.000743347269228422,0.00122232524912644,0.00118851944356994,0.000754961725497469,-76.0401041157954,-78.4680171575419,-42.2653633978721,-89.7912425773597,24.3899999999994,24.7590000000018,156.907999999999,0.347999999998137
10,0.00143739902285521,0.00148222762851714,0.00156333544564957,0.00145765114373508,-66.7628305155279,-73.393289858661,-15.5261150598875,-67.4495995997601,23.5549999999967,23.9520000000011,158.853999999999,0.0689999999995052
11,0.000826853193547817,0.000300960563042188,0.000935006467876303,0.000407794264297637,-73.7337814979804,-88.6698395019011,-59.7697992886408,-96.7366852014678,23.1659999999974,22.6039999999994,170.965,0.0670000000027358
12,0.000922311183874998,0.00103639822193324,0.0011119558060721,0.00121716694393776,-74.2560732096514,-79.6020432564106,-36.0962943255409,-69.5439182059875,21.5390000000007,21.6889999999985,154.422999999999,0.0859999999993306
13,0.00186756463601507,0.00169148058663057,0.00213003600639345,0.00198799401442422,-64.8694945522022,-73.922191177577,14.3855084806813,-63.6746213350146,24.0819999999985,24.5590000000011,172.752999999997,0.0830000000023574
14,0.000364126105361945,0.000352653165587918,0.00103941013315303,0.000672537289563254,-74.6503652378443,-86.2676109992282,-61.9183055841664,-90.8811711738473,22.5600000000013,23.3580000000002,158.547999999999,0.298999999999069
15,0.00107575115933272,0.00102006141415371,0.00178740492516996,0.00104798516724047,-67.3297223247644,-77.7940804394202,-28.0890933349869,-80.2034419573095,22.1150000000016,22.1080000000002,151.919999999998,0.0780000000013388
16,0.000840841280555265,0.000760681304585844,0.00102434018477418,0.000737218423878854,-68.5639639464069,-78.9412924496757,-60.3265893313048,-85.6282022448641,23.2520000000004,23.762999999999,160.793000000001,0.0999999999985448
17,0.00139316791514634,0.00142859411422555,0.00156324486727203,0.00170574792751016,-64.102157644918,-72.7207791071101,-38.9491799363145,-70.6510806209885,22.2559999999976,22.3410000000003,157.597000000002,0.111999999997352
18,0.00123294109123127,0.00117601166963211,0.00223828575636447,0.00132726984446102,-74.4361136956391,-80.0455543458752,66.5745385835418,-71.3714956516835,22.7869999999966,22.8760000000002,178.653000000002,0.069999999999709
19,0.00107968482516167,0.000874251630407347,0.000980631352824047,0.000900953157783698,-76.5207102282785,-83.0895186609725,-57.186051514747,-81.6898202832457,23.1039999999994,21.3500000000022,157.249,0.429000000000087
20,0.00204518832921132,0.00194513612648331,0.00212075906818463,0.00174866045073717,-63.2971859647981,-65.0879557547659,28.0637574939698,-58.9893587751284,30.2259999999987,28.6680000000015,167.610000000001,0.129999999997381
