"seed","dgp_mse","dgp_r_mse","deepgp_mse","hetgp_mse","dgp_logs","dgp_r_logs","deepgp_logs","hetgp_logs","dgp_time","dgp_r_time","deepgp_time","hetgp_time"
2,3.78258869833982e-05,3.35723714335236e-05,3.77648395891704e-05,2.64688501955696e-05,-132.432171072069,-151.16163645059,-142.120688950288,-176.430546222017,27.543,23.887,392.245,0.0749999999999886
1,3.12927157967486e-05,2.75449599605063e-05,4.20040760544249e-05,2.85111154306853e-05,-131.240331109378,-155.558018112762,-137.879262737754,-174.845648127825,25.4,27.939,397.535,0.0550000000000068
12,1.21612543366668e-05,1.27606985393413e-05,2.35487576776724e-05,1.12447960235643e-05,-139.074785884549,-162.316737407333,-156.431862830445,-190.351711879948,16.133,17.083,281.878,0.163000000000011
3,7.6893096861044e-06,1.0370415043012e-05,2.05501266491565e-05,9.87905919225008e-06,-129.423417510417,-154.738247607848,-162.736820352207,-190.692079339497,24.517,25.283,445.35,0.101000000000056
10,1.45419230962693e-05,1.51946137835526e-05,2.72210073097624e-05,1.52171160698554e-05,-129.144245726209,-153.761190093321,-153.705928920308,-184.649072233494,24.529,25.378,404.151,0.360000000000014
6,1.91649158192724e-05,2.12958099810166e-05,3.00761834835675e-05,2.13965082312904e-05,-129.025197468614,-152.886610239562,-149.625636627814,-177.901046724639,24.845,25.997,414.234,0.0629999999999882
5,2.03930461707513e-05,1.9093396327966e-05,2.78946093486225e-05,2.0475054678416e-05,-133.414113708203,-159.649779957265,-153.797520240709,-182.401414196889,25.938,26.974,423.277,0.36099999999999
4,8.52798598409362e-06,8.54623781917549e-06,1.65188721237888e-05,5.35747052914767e-06,-128.170950810957,-155.40276821934,-167.530867886057,-194.277793866037,24.499,25.734,432.323,0.0910000000000082
7,2.03421048892584e-05,2.05035089938567e-05,2.43157870263862e-05,1.96469861156959e-05,-127.974565161439,-152.27093583824,-157.507042046351,-176.252810999297,27.064,27.94,433.738,0.0670000000000073
9,9.11641640796553e-06,9.07195213534573e-06,1.36524597017049e-05,9.2512685723716e-06,-128.112596916157,-155.015370848312,-170.879589434471,-189.087618793323,25.178,25.901,446.4,0.27800000000002
8,1.39979695291973e-05,1.48867272384403e-05,2.96299190895765e-05,1.58985791301162e-05,-131.860844550849,-156.666229061158,-153.142676335181,-183.45091738858,26.415,28.293,445.452,0.0889999999999986
11,1.54852713384016e-05,1.46815416132172e-05,2.21510400404662e-05,1.75266556278591e-05,-137.561419206522,-155.888475026928,-160.14588474585,-186.583889768267,28.617,23.237,458.384,0.0900000000000318
13,2.14494532588184e-05,2.46778125968305e-05,3.91837475694813e-05,1.76677132987412e-05,-126.103696231994,-150.35373726183,-141.592880171557,-181.273903894109,23.811,24.75,420.901,0.0480000000000018
14,1.32400725010282e-05,1.3895346436035e-05,2.57811968202104e-05,1.21833231625618e-05,-129.696416612618,-156.341505185797,-157.826158059227,-181.814778820557,26.176,27.471,421.335,0.369000000000028
