"seed","dgp_mse","dgp_r_mse","deepgp_mse","hetgp_mse","dpc_mse","dgp_logs","dgp_r_logs","deepgp_logs","hetgp_logs","dpc_logs","dgp_time","dgp_r_time","deepgp_time","hetgp_time","dpc_time"
1,0.00020826921480982,0.000184940980218281,0.000198946744221805,0.000192917080205133,0.000176341146679513,-105.852570428818,-131.357911683785,-92.1251141294862,-114.912492399829,-104.31064341128,14.357,14.382,100.232,0.049999999999983,159.972
2,0.00039066731575859,0.000319371602878272,0.000323130780797464,0.000342771433201334,0.00031345266708318,-101.555051931981,-122.218939518824,-47.4951268045969,-73.8646881355553,-77.3772033808578,14.376,13.581,105.507,0.0529999999999973,157.76
3,0.000125095517008869,8.23332646219888e-05,8.14912970550736e-05,0.000102288354985668,8.33124975631673e-05,-101.669273283004,-142.719436392744,-134.105279633604,-138.682579975714,-136.722205233799,13.351,13.703,103.934,0.0509999999999309,157.569
4,3.44285981612525e-05,3.41577727220563e-05,3.98084966084463e-05,5.40909451649065e-05,3.67233652518857e-05,-102.474502155652,-147.390242666042,-147.467914907945,-151.316532092022,-147.402163289824,13.283,13.288,99.7710000000001,0.0419999999999163,157.24
5,3.97053986797921e-05,6.23809025725426e-05,7.36257630477348e-05,6.74467603547212e-05,5.72884630731923e-05,-104.351025063845,-146.596723227091,-136.4018078363,-146.891178956786,-141.048156918193,14.6090000000002,12.2529999999999,102.925,0.115999999999985,157.211
6,0.000148960029353737,7.35467413271534e-05,6.76221081062388e-05,0.000110919537816155,6.69701241504633e-05,-101.990280909599,-143.442248610212,-138.657353586523,-138.839315101348,-140.830102321651,14.115,13.847,102.009,0.0520000000001346,157.176
7,0.000192292734214405,8.15109828198891e-05,8.5093909291331e-05,9.90640408442024e-05,7.86327259104838e-05,-98.3213734113539,-140.727417285477,-133.904157248316,-142.247754569004,-135.454109832645,14.634,14.3010000000002,106.659,0.053000000000111,157.186
8,0.000234062801062982,0.000156214737977521,0.00015404348697938,0.000181047261556453,0.000157822303903634,-107.665282106703,-136.589421987686,-106.845751272455,-122.975090147913,-121.182451540451,15.203,12.5189999999998,112.233,0.0509999999999309,157.111
9,7.33772937266466e-05,3.2543700829441e-05,3.67356494498913e-05,3.38162368776262e-05,2.67344372373405e-05,-106.109267027354,-152.00559085871,-150.31221629072,-155.404949594179,-155.162340647493,14.808,14.4670000000001,99.489,0.0509999999999309,157.073
10,0.00019145843534044,0.000135521100633525,0.0001391780643216,0.00014740284866187,0.00013561376622352,-102.912132429753,-139.879918742647,-114.393881239928,-134.350088971901,-128.573607429572,15.5509999999999,12.5219999999999,99.788,0.0399999999999636,157.768
11,0.000174415193864646,0.000126744158428414,0.000138022530958785,0.000167444198241517,0.000135904521562751,-105.092439164389,-135.246533757697,-119.089183284971,-130.47699195801,-112.343982261359,14.9609999999998,12.471,110.215,0.172000000000025,157.595
12,8.63839301452846e-05,6.82523019633263e-05,0.000111439904859512,8.56800291048841e-05,5.70222304608507e-05,-106.312179971571,-138.476988640794,-125.525156954953,-130.266756208944,-124.846696505494,13.6479999999997,12.8470000000002,101.097,0.0509999999999309,160.616
13,0.000253794329167679,0.000125558152719024,0.000117976320637826,0.000147232520938454,0.00011167719770273,-101.141366789969,-138.012636111517,-125.771289855321,-135.360755491702,-123.606394189689,15.3610000000003,13.1320000000001,102.171,0.150000000000091,162.209
14,8.15139873020342e-05,9.2538722599625e-05,9.91145024642817e-05,0.000116337347643111,9.10925114915402e-05,-102.199171098517,-138.498219145922,-129.981449186258,-133.587487934927,-119.719285486484,14.221,14.174,98.712,0.0430000000001201,161.786
15,0.000238178434043673,0.000185573667335368,0.000194013371293411,0.000186203687037535,0.000174764102196244,-98.1279736926869,-134.051784194549,-110.507506261196,-128.406634553659,-106.929617187715,14.0410000000002,13.0889999999999,103.258,0.0510000000003856,161.857
16,0.000152201257795106,6.95994401191349e-05,7.52148681879917e-05,8.49082405155471e-05,6.39870871261473e-05,-101.04179661293,-139.696259770749,-136.483958915174,-139.642320778976,-133.969697571085,15.143,13.7110000000002,99.5910000000003,0.0419999999994616,162.092000000001
17,4.7780687459834e-05,9.15559394629413e-05,0.00011279901904471,9.85781599103165e-05,8.44993348284596e-05,-100.347552137676,-142.214808718821,-127.43665619048,-146.891328566573,-134.812406413171,15.5990000000002,12.7029999999995,100.594,0.0470000000004802,162.568
18,8.45380595630284e-05,0.000113528583258917,0.000121886516205091,0.000145381172552399,0.000121969989783353,-106.244777776335,-145.724005372347,-118.718715655458,-137.380957325249,-139.893418516725,14.4719999999998,14.3330000000005,107.053,0.0429999999996653,162.089
19,0.000145583998559697,0.000115530840547497,0.000102088894123683,0.000128219083237899,0.000112798668099248,-105.756169793153,-136.248022967964,-126.645559091151,-124.275000221474,-119.701438633945,14.9520000000002,13.04,103.592000000001,0.0559999999995853,161.844
20,0.000103576728839042,4.12662618342326e-05,4.33740060373008e-05,9.63950683734094e-05,3.94931100899651e-05,-103.917219559294,-151.455836118201,-145.537246091951,-152.399998704851,-161.529226477742,16.1689999999999,13.7260000000006,102.335999999999,0.0510000000003856,162.577
