"seed","dgp_mse","deepgp_mse","hetgp_mse","dpc_mse","dgp_logs","deepgp_logs","hetgp_logs","dpc_logs","dgp_time","deepgp_time","hetgp_time","dpc_time"
1,0.00240265395593912,0.00246248869662437,0.00302987463222597,0.00299440019970306,-69.0225011689014,-57.9376047596294,-40.6201311533095,-61.4843460650314,35.0899999999965,648.006999999998,0.0669999999954598,265.332999999999
2,0.00541845204057243,0.00572717394073422,0.00521929665458254,0.00544572700160651,-47.9809848297296,-8.89004936075717,47.6813557646674,5.87911318517449,34.198000000004,613.497000000003,0.0819999999948777,252.67300000001
3,0.00281445241243542,0.00228105079890304,0.00235555881619486,0.0022327544857654,-55.6027639728741,-63.0126123133205,-33.2648443864196,-36.7446198750068,33.9629999999888,629.921000000002,0.0709999999962747,239.610000000001
4,0.00249358142077679,0.00228752590878673,0.00211609007228878,0.00193321816918609,-66.643416710969,-61.9651345927238,-44.6358910090096,-71.4060057068765,32.5550000000076,593.741999999998,0.0689999999885913,281.965000000011
5,0.00138745754906358,0.00204052378428568,0.00217584635246996,0.00211515577754199,-69.1823704600429,-66.9448107153853,-46.3011948680001,-62.6567960155125,36.6549999999988,631.690999999992,0.0650000000023283,276.182000000001
6,0.0010198438576662,0.00192885671372915,0.00144154250572382,0.00148045517279841,-75.1496997450454,-64.5924354435701,-70.5108574379587,-78.1184308906749,37.4640000000072,702.491999999998,0.0789999999979045,267.264999999999
7,0.00277316662831109,0.00368969024522392,0.00292825763392757,0.00364519409445331,-61.211287747298,-44.6732939036908,-18.4420246988767,-43.9465400816242,36.3959999999934,561.339999999997,0.0720000000001164,285.638000000006
8,0.00569931026575121,0.00605851829747012,0.00554565439783872,0.00530949373075055,-52.012597501432,14.8235795514909,25.6289540242243,-25.430460529405,34.7900000000081,604.357000000004,0.350999999995111,269.699999999997
9,0.000743699434073046,0.0010084009295052,0.0010546556518446,0.00093529772951588,-79.3351381741476,-83.3074347246217,-76.3465142367043,-84.1800412215194,33.7360000000044,634.115999999995,0.0810000000055879,284.675999999992
10,0.00386302596474628,0.00364290849779546,0.00418185110869875,0.00411930266318082,-59.315182460212,-45.6155840082341,-13.9555232674373,-37.3094616247318,34.4850000000006,621.510000000009,0.0739999999932479,255.894
11,0.00231180685404765,0.00156444509998608,0.00229018494699779,0.00234534564505984,-67.7479022974282,-74.1947746337059,-34.4858766189523,-55.072849320458,32.4379999999946,600.316000000006,0.0749999999970896,269.411000000007
12,0.00482767153146604,0.0045306640767206,0.0035050863588179,0.0033874757957524,-52.2053450341981,-17.694380311982,20.4035476774947,-33.4666301208579,33.2780000000057,609.801000000007,0.0759999999863794,274.025000000009
13,0.0043854196685258,0.00566261722034796,0.00491594159376017,0.0047712920115155,-58.333470484811,-18.2593382515401,1.14435859303598,-36.0845784751434,33.2920000000013,565.414999999994,0.288000000000466,294.653000000006
14,0.00230351721805897,0.0040825120791702,0.00292120671173186,0.00248552875755268,-64.2941165060326,-41.3823231863612,-28.2861361200145,-59.1192607204092,36.6889999999985,609.493999999992,0.088000000003376,279.176999999996
15,0.00324700896215326,0.00508749384632594,0.00410964247398559,0.00392985364003002,-58.1573634199526,-34.5820334811211,-18.1774954791234,-38.3243985340262,32.875,604.262000000002,0.0929999999934807,269.688000000009
16,0.00213570778081648,0.00214944059049295,0.00228852253999681,0.00176723387013536,-62.3454844299394,-67.330545280344,-29.1920243238268,-65.2617799197719,31.6699999999983,589.042000000001,0.0810000000055879,283.903999999995
17,0.0034574753828962,0.00157576605497311,0.00283996642169884,0.00225612358281426,-56.3283071949766,-73.5722123679161,-44.2950989048361,-54.6672734035579,34.3589999999967,639.149000000005,0.0720000000001164,260.345000000001
18,0.00202466997214786,0.00200479667769635,0.00232214711701715,0.00203305817867063,-69.0610984136117,-65.9060301883633,-45.3394954406638,-70.8314248186121,35.752999999997,618.010000000009,0.0649999999877764,288.819000000003
19,0.00416297973572334,0.00310867698496576,0.0034236796116558,0.00320572905609002,-53.5342910474318,-50.0095057473156,4.36426966598756,-39.9706093917837,32.3769999999931,570.816000000006,0.0779999999940628,285.141000000003
20,0.00246838264467931,0.00217135138440527,0.00191964444669755,0.00178034672222591,-66.1540252186282,-65.3753215038936,-57.289408429483,-72.8925597311547,35.8350000000064,617.736999999994,0.0859999999956926,246.804000000004
