"seed","dgp","dgp_r","deepgp","hetgp","time1","time_r","time2","time3"
1,0.00176636683377535,0.00177597324848083,0.00223325715861772,0.00171353828261656,27.5949999999993,27.1190000000006,460.902,0.132999999999811
2,0.00247835134088573,0.00284332812758659,0.00297188015869563,0.00315255434526702,40.3490000000002,27.4340000000011,486.15,0.111999999999171
3,0.00321030982656996,0.00300786875379984,0.00320241315771971,0.00362219671580395,30.639000000001,29.6589999999997,485.73,0.114999999999782
4,0.00191245693248741,0.00190911579178692,0.00099881190981298,0.00177738749593157,26.1370000000006,24.5,476.457999999999,0.108000000000175
5,0.00143080279416597,0.00195561217738099,0.0036044867747227,0.00297559194662154,28.9770000000008,29.1659999999993,503.33,0.143000000000029
6,0.00145214553836525,0.00148530161865395,0.00287747887626865,0.00254528212755814,26.9850000000006,26.4809999999998,536.904,0.141999999999825
7,0.00352938736938316,0.00382119800363626,0.00464339866735029,0.00533415037202417,26.8439999999991,26.3880000000008,490.936,0.130999999999403
8,0.0016055193368266,0.00155092528849969,0.00124454691271075,0.00211253244209278,35.7440000000006,31.7180000000008,474.203,0.295000000000073
9,0.00201166453006552,0.00152471112246521,0.00186861222659871,0.00155017987741689,25.5840000000007,42.2330000000002,470.048999999999,0.98700000000099
10,0.00304921522934674,0.00282687065360868,0.00257298261656252,0.0035630858942673,31.9959999999992,28.103000000001,468.243999999999,0.10700000000179
11,0.00134682299818291,0.00122605788171943,0.000792955683399272,0.0014260640775448,27.9750000000004,28.0420000000013,452.063,0.139999999999418
12,0.00283330020225666,0.00252083058106049,0.00418632606664928,0.00244575028095066,27.6710000000003,27.1579999999994,508.941999999999,0.127000000000407
13,0.00319764828796244,0.00308894344923598,0.0033035692316427,0.00382260138952146,25.1000000000004,25.3259999999991,446.821,0.637000000000626
14,0.00149410458562239,0.00132096943503578,0.00204494289958412,0.00137027757071464,27.887999999999,27.2469999999994,510.267000000002,0.121999999999389
15,0.00186462502376263,0.0020034150005234,0.00117380176623001,0.00235565366554606,25.9660000000003,28.4979999999996,483.222999999998,0.298000000002503
16,0.0020279045755413,0.00205639220331361,0.00242830524138063,0.00148088174119075,27.9120000000003,27.9219999999987,457.738000000001,0.153999999998632
17,0.00325924758904811,0.00327654235659746,0.00410245730505923,0.00349456605431171,28.9209999999985,29.7139999999999,500.305,0.0860000000029686
18,0.00241871703486839,0.0031296379745986,0.00310136551718781,0.00267148649752346,32.8869999999988,31.5110000000022,502.403999999999,0.125
19,0.00248307227807767,0.00212629886128193,0.00246309487661921,0.00188194038595074,29.643,26.9039999999986,447.067999999999,0.0900000000001455
20,0.00395510011770951,0.00401451090801554,0.00568540541989719,0.00385258740965232,25.9619999999995,27.0250000000015,489.360000000001,0.490999999998166
