"V1","V2","V3","V4","V5","V6"
-1.4836682548774,-1.44306550495271,-1.41953857108637,-1.12384738355779,-1.43191669508772,-1.51105775540804
-1.40827909189408,-1.3669224811828,-1.34598317228812,-1.06312165885007,-1.35742066845623,-1.4372147343042
-1.33134195263122,-1.28934514768722,-1.27111109378268,-1.00089236037782,-1.28140443943012,-1.36191193263925
-1.25352269243198,-1.21103565468967,-1.19537814081676,-0.93767922418193,-1.2047040633527,-1.28577943096399
-1.17683401137726,-1.13405309009735,-1.12078909234696,-0.875289062202944,-1.1293115152676,-1.21078864654483
-1.10009967661206,-1.05723516895669,-1.04623075705148,-0.812766240502159,-1.05402548302755,-1.13577305558201
-1.02373365280273,-0.98097612467352,-0.972090222031352,-0.75038462406188,-0.979200953726529,-1.06109748463235
-0.948096923591315,-0.905538728382482,-0.898622186377705,-0.688429319808542,-0.905104612879083,-0.987071356095522
-0.87282756473699,-0.830635044120539,-0.82558648144154,-0.626621568905489,-0.83149625559891,-0.913416247725103
-0.797227987750846,-0.755589463941111,-0.752320095588759,-0.564409155548595,-0.757702046080291,-0.839412270473216
-0.722868085697972,-0.681918648397459,-0.68029694068334,-0.503006706593553,-0.6852417971932,-0.766625872829747
-0.64870000860573,-0.608515386587162,-0.608409291642888,-0.441582246030257,-0.613039796101983,-0.694015860778305
-0.57481291640921,-0.535491042537528,-0.536769738477247,-0.380193866806851,-0.541101715659723,-0.621549514193906
-0.502010181600763,-0.463655227131116,-0.466205439484864,-0.319484011917315,-0.470274228816044,-0.550059699371804
-0.429631867853547,-0.392271165324307,-0.395929541317529,-0.258800504935104,-0.399781415191091,-0.478790438368216
-0.35811018478159,-0.321810432949443,-0.326392364571311,-0.198638241617841,-0.330074739629563,-0.408211870319373
-0.287307562180149,-0.25203937353409,-0.257405833842753,-0.138897176385347,-0.260965352111299,-0.338141725919259
-0.217576307576704,-0.183298844338431,-0.189360239926134,-0.0799594724638986,-0.192863340163845,-0.268970260562764
-0.148770698790887,-0.115438208387036,-0.122115117972142,-0.0215977380598389,-0.125619060326058,-0.200517717241988
-0.0808592553042371,-0.0484300572451331,-0.0555708645233783,0.0363222959077515,-0.0591087157133017,-0.132683122617158
-0.0141022448363504,0.0174790749713113,0.0100395306101215,0.0936555755552133,0.00649807278555505,-0.0656807645859798
0.0515542055156624,0.0823104590858844,0.0746857954427144,0.150323371311957,0.0711429964601782,0.000445024019913476
0.116081815191342,0.146070583719122,0.138387009014973,0.206175759394987,0.134757586132927,0.0656535525205953
0.179279160014872,0.208552276576962,0.200977065089602,0.261046388085488,0.197165442739355,0.129778093228955
